时间	快递量(万件)	快递业务收入(万元)
2022年	11058000	105670000
2021年	10829641.32	103323162
2020年	8335789.43	87954342.35
2019年	6352290.97	74978235.19
2018年	5071042.8	60384253.78
2017年	4005591.91	49571088.76
2016年	3128315.11	39743601.32
2015年	2066636.84	27696465.85
2014年	1395925.3	20453586.23
2013年	918674.89	14416815.26
2012年	568547.99	10553324.22
2011年	367311.08	7579878.21
2010年	233891.99	5746029.84
2009年	185785.81	4790030.74
2008年	151329.3	4084274.59
2007年	120189.56	3425851.6
2006年	26988.04	NA
2005年	22880.3	NA
2004年	19772	NA
2003年	17237.8	NA
2002年	14036.2	NA
注：快递业务量2006年及以前为邮政特快专递，2007年起为规模以上(年业务收入200万元以上)快递服务企业，2013年起为获得快递业务经营许可的快递服务企业业务量。	NA	NA
数据来源：国家统计局	NA	NA
