data_date	RSCG	RSCG_online	RSCG_online_YoY
2022	439733	119600	10.74%
2021	440823.2	108000	10.67%
2020	391980.6	97590	14.54%
2019	408017.2	85200	21.37%
2018	377783.1	70198	-2.16%
2017	347326.7	71751	39.17%
2016	315806.2	51556	59.01%
2015	286587.8	32424	16.22%
2014	259487.3	27898	
2013	232252.6		
2012	205517.3		
2011	179803.8		
2010	152083.1		
2009	128331.3		
2008	110994.6		
2007	90638.4		
2006	76827.2		
2005	66491.7		
2004	58004.1		
2003	51303.9		
2002	47124.6		
2001	42240.4		
2000	38447.1		
1999	35122		
1998	32955.6		
1997	30922.9		
1996	28120.4		
1995	23463.9		
1994	18544		
1993	14240.1		
1992	10993.7		
