日期,期限品种,掉期点_Pips
2025-09-05,1Y,-1551.51
2025-09-04,1Y,-1579.25
2025-09-03,1Y,-1607
2025-09-02,1Y,-1593.5
2025-09-01,1Y,-1592.5
2025-08-29,1Y,-1585
2025-08-28,1Y,-1612
2025-08-27,1Y,-1624
2025-08-26,1Y,-1630.5
2025-08-25,1Y,-1623
2025-08-22,1Y,-1690.01
2025-08-21,1Y,-1671
2025-08-20,1Y,-1685.5
2025-08-19,1Y,-1694.5
2025-08-18,1Y,-1675
2025-08-15,1Y,-1688
2025-08-14,1Y,-1678
2025-08-13,1Y,-1713.66
2025-08-12,1Y,-1743.51
2025-08-11,1Y,-1740
2025-08-08,1Y,-1742
2025-08-07,1Y,-1735.75
2025-08-06,1Y,-1750.01
2025-08-05,1Y,-1732.5
2025-08-04,1Y,-1740
2025-08-01,1Y,-1880
2025-07-31,1Y,-1815
2025-07-30,1Y,-1762.5
2025-07-29,1Y,-1767.5
2025-07-28,1Y,-1787.01
2025-07-25,1Y,-1760
2025-07-24,1Y,-1762.5
2025-07-23,1Y,-1785.75
2025-07-22,1Y,-1792.5
2025-07-21,1Y,-1784.5
2025-07-18,1Y,-1788
2025-07-17,1Y,-1769.76
2025-07-16,1Y,-1794
2025-07-15,1Y,-1773.75
2025-07-14,1Y,-1784.5
2025-07-11,1Y,-1841.5
2025-07-10,1Y,-1875.5
2025-07-09,1Y,-1878.5
2025-07-08,1Y,-1879
2025-07-07,1Y,-1894
2025-07-04,1Y,-1915.5
2025-07-03,1Y,-1888.5
2025-07-02,1Y,-1910.5
2025-07-01,1Y,-1850.5
2025-06-30,1Y,-1865.5
2025-06-27,1Y,-1883.5
2025-06-26,1Y,-1870.5
2025-06-25,1Y,-1928
2025-06-24,1Y,-1942
2025-06-23,1Y,-1989.25
2025-06-20,1Y,-1993.5
2025-06-19,1Y,-1993
2025-06-18,1Y,-2012
2025-06-17,1Y,-2024
2025-06-16,1Y,-2076
2025-06-13,1Y,-2037
2025-06-12,1Y,-2043.26
2025-06-11,1Y,-2077
2025-06-10,1Y,-2068.5
2025-06-09,1Y,-2074.75
2025-06-06,1Y,-2043.02
2025-06-05,1Y,-2020.5
2025-06-04,1Y,-2066
2025-06-03,1Y,-2063.5
2025-05-30,1Y,-2058.51
2025-05-29,1Y,-2051.5
2025-05-28,1Y,-2048
2025-05-26,1Y,-2030
2025-05-23,1Y,-2044.5
2025-05-22,1Y,-2033
2025-05-21,1Y,-2042.5
2025-05-20,1Y,-2049.5
2025-05-19,1Y,-2069
2025-05-16,1Y,-2070
2025-05-15,1Y,-2142.5
2025-05-14,1Y,-2162
2025-05-13,1Y,-2147.5
2025-05-12,1Y,-2121
2025-05-09,1Y,-2096
2025-05-08,1Y,-2089.75
2025-05-07,1Y,-2057
2025-05-06,1Y,-2014
2025-04-30,1Y,-1954
2025-04-29,1Y,-1942
2025-04-28,1Y,-1976
2025-04-25,1Y,-2019.5
2025-04-24,1Y,-2042.5
2025-04-23,1Y,-2064.5
2025-04-22,1Y,-2071.25
2025-04-21,1Y,-2064.45
2025-04-18,1Y,-2101
2025-04-17,1Y,-2123.5
2025-04-16,1Y,-2136
2025-04-15,1Y,-2141.5
2025-04-14,1Y,-2166
2025-04-11,1Y,-2114
2025-04-10,1Y,-2143
